,headline,dominant_emotion,cause,cause_span,start_index,end_index,emotion_label
2062,penn state prof moonlighting as uber driver accused of kidnapping: report,guilt,"[[""uber driver accused of kidnapping""]]",uber driver accused of kidnapping,9,14,4
4852,trump's furious at underlings who made him look bad in mueller report,anger,"[[""made him look bad""]]",made him look bad,10,13,0
4614,transgender activist indicted on charges of theft — from anti-trump 'women's march',disgust,"[[""from anti-trump 'women's march'""]]",from anti-trump 'women's march',9,19,2
3913,austrian government collapses over russia scandal,negative_surprise,"[[""russia scandal""]]",russia scandal,8,11,8
276,gamer raises nearly $1 million for st. jude childrenand#039;s research hospital in just 4.5 hours,annoyance,"[[""million""]]",million,7,7,1
3203,planned parenthood: democrat rogers’ abortion comments 'reprehensible' but distract from abortion ban,negative_surprise,"[[""abortion comments 'reprehensible' but distract from abortion""]]",abortion comments 'reprehensible' but distract from abortion,11,23,8
4215,"claiming racism, illinois democrat cancels local civil war re-enactment",annoyance,"[[""cancels local civil war re-enactment""]]",cancels local civil war re-enactment,9,18,1
3785,toy story 2 cuts fake blooper scene in wake of #metoo,negative_surprise,"[[""blooper scene in wake of #metoo""]]",blooper scene in wake of #metoo,6,15,8
2284,hud charges facebook with housing discrimination,guilt,"[[""housing discrimination"",""facebook with housing discrimination""]]",housing discrimination,7,8,4
2042,diplomats fear chilling effect of british ambassador’s resignation,fear,"[[""chilling effect of british ambassador’s resignation""]]",chilling effect of british ambassador’s resignation,4,14,3
4069,hospitals are learning from industry how to cut medical errors,sadness,"[[""hospitals are learning from industry how to cut medical errors"",""are learning from industry how to cut medical errors""]]",hospitals are learning from industry how to cut medical errors,1,10,12
3820,'ncis' renewed for season 17 by cbs,joy,"[[""season 17 by cbs"",""renewed for season 17 by cbs""]]",season 17 by cbs,7,11,5
459,"june wti oil down 64 cents, or 1%, at $61.61/bbl after $60.66 low",negative_surprise,"[[""1%, at $61.61/bbl after $60.66 low""]]","1%, at $61.61/bbl after $60.66 low",11,28,8
3393,the dangerous romance of hong kong protests,fear,"[[""hong kong protests""]]",hong kong protests,5,9,3
1710,mount everest cleaning crew finds 4 bodies amid 12 tons of trash,sadness,"[[""4 bodies amid 12 tons of trash""]]",4 bodies amid 12 tons of trash,7,13,12
4169,catholic priest stands by christian teachings after being condemned for rejecting pride month,pride,"[[""condemned for rejecting pride month""],[""after being condemned""]]",condemned for rejecting pride month,13,17,11
144,tac bookshelf for the week of july 22,negative_surprise,"[[""tac bookshelf for the week of july 22""]]",tac bookshelf for the week of july 22,1,13,8
3004,f1: williams drivers george russell and robert kubica prepare for long-term recovery,positive_anticipation_including_optimism,"[[""prepare for long-term recovery"",""drivers george russell and robert kubica prepare for long-term recovery""]]",prepare for long-term recovery,20,25,9
2511,elections in the world’s largest democracy are being boycotted in one embattled province,fear,"[[""largest democracy are being boycotted in one embattled province"",""are being boycotted in one embattled province""]]",largest democracy are being boycotted in one embattled province,7,18,3
2034,trump's census citizenship tweets baffle everyone: 'nobody has any f*cking idea',anger,"[[""'nobody has any f*cking idea'""]]",'nobody has any f*cking idea',15,24,0
3359,new york forbids teachers from carrying guns in classrooms,positive_surprise,"[[""from carrying guns in classrooms""]]",from carrying guns in classrooms,8,12,10
3974,biden hardens china stance: u.s. needs to ‘get tough’ on beijing,disgust,"[[""u.s. needs to ‘get tough’ on beijing""]]",u.s. needs to ‘get tough’ on beijing,9,22,2
1469,malaysia plans to decriminalise drug possession for personal use,negative_anticipation_including_pessimism,"[[""possession for personal use""]]",possession for personal use,12,15,7
507,saudi diplomat rejects activist's allegation he's a target,disgust,"[[""activist's allegation he's a target""]]",activist's allegation he's a target,5,14,2
3812,young democrat booed for opposing slavery reparations at house hearing,shame,"[[""for opposing slavery reparations at house hearing""]]",for opposing slavery reparations at house hearing,7,15,13
2261,"comey's next reckoning is imminent, this time for leaking",positive_anticipation_including_optimism,"[[""this time for leaking""]]",this time for leaking,12,15,9
260,climate change is this generation’s vietnam war,sadness,"[[""this generation’s vietnam war""]]",this generation’s vietnam war,4,11,12
2739,"air-conditioners do great good, but at a high environmental cost",negative_surprise,"[[""but at a high environmental cost""]]",but at a high environmental cost,9,14,8
4081,l.a. rapper nipsey hussle’s murder is a familiar refrain for americans,negative_anticipation_including_pessimism,"[[""murder is a familiar refrain for americans""]]",murder is a familiar refrain for americans,14,22,7
1327,watch live: big tech officially announces plan to censor all conservatives & christians on a planetary scale,negative_anticipation_including_pessimism,"[[""censor all conservatives & christians on a planetary scale"",""plan to censor all conservatives & christians on a planetary scale""]]",censor all conservatives & christians on a planetary scale,10,23,7
3659,'high life' is a stunning space odyssey — with a baby on board,joy,"[[""a stunning space odyssey — with a baby on board""],[""with a baby on board""]]",a stunning space odyssey — with a baby on board,6,18,5
632,‘we hope it won’t end up being a dud’: jerry nadler’s attempted explanation for why mueller is testifying spells desperation,fear,"[[""why mueller is testifying spells desperation""]]",why mueller is testifying spells desperation,25,33,3
3763,screenwriter with hiv racked up thousands in debt by pretending to be dead brother,negative_surprise,"[[""pretending to be dead brother"",""racked up thousands in debt by pretending to be dead brother""]]",pretending to be dead brother,12,16,8
4342,peterloo is a hard movie to like,annoyance,"[[""hard movie to like""]]",hard movie to like,7,10,1
3881,the hezbollah sleeper agent busted for black ops in america,negative_surprise,"[[""busted for black ops in america""]]",busted for black ops in america,9,18,8
1087,openly gay democratic presidential candidate wants to 'broker that peace deal' with chick-fil-a,negative_anticipation_including_pessimism,"[[""broker that peace deal' with chick-fil-a""]]",broker that peace deal' with chick-fil-a,9,20,7
1550,"to spike or not to spike, that is the question! new refreshers and dim sum arrive at p.f. chang's april 11th",positive_surprise,"[[""new refreshers and dim sum arrive at p.f. chang's april 11th""]]",new refreshers and dim sum arrive at p.f. chang's april 11th,13,34,10
308,"midday open thread: measles, air bags, and free parking for all!",annoyance,"[[""measles, air bags, and free parking for all!""]]","measles, air bags, and free parking for all!",6,18,1
2219,"after marijuana is legalized, a new study finds, adolescent use declines",positive_surprise,"[[""adolescent use declines""],[""new study finds, adolescent use declines""]]",adolescent use declines,12,15,10
2964,scientists detect the earliest big bang molecule in space,positive_surprise,"[[""the earliest big bang molecule in space""]]",the earliest big bang molecule in space,3,9,10
1516,sleeping with the tv on may make you gain weight,negative_surprise,"[[""may make you gain weight""]]",may make you gain weight,7,11,8
808,portland and denver’s four-overtime game revealed the six stages of exhaustion,negative_surprise,"[[""revealed the six stages of exhaustion""]]",revealed the six stages of exhaustion,12,17,8
2484,'do something!': calls for action after mass shootings in el paso and dayton,fear,"[[""calls for action after mass shootings in el paso and dayton""]]",calls for action after mass shootings in el paso and dayton,7,21,3
2361,trump’s racist comments have spawned violent threats against lawmakers of color,anger,"[[""racist comments have spawned""]]",racist comments have spawned,5,8,0
4989,uk at ‘highest risk of recession’ since 2007,negative_surprise,"[[""uk at ‘highest risk of recession’ since 2007"",""‘highest risk of recession’ since 2007""]]",uk at ‘highest risk of recession’ since 2007,1,10,8
270,doctors use medical records to track down unvaccinated,trust,"[[""track down unvaccinated""]]",track down unvaccinated,6,11,14
392,"angela merkel says she rejects trump’s racist remarks, stands ‘in solidarity’ with ilhan omar",disgust,"[[""she rejects trump’s racist remarks, stands ‘in solidarity’ with ilhan omar""],[""trump’s racist remarks, stands ‘in solidarity’ with ilhan omar""]]","she rejects trump’s racist remarks, stands ‘in solidarity’ with ilhan omar",7,25,2
2726,"winter sports face a double threat, from climate and demographic change",negative_anticipation_including_pessimism,"[[""climate and demographic change""]]",climate and demographic change,9,12,7
