,headline,dominant_emotion,cause,cause_span,start_index,end_index
3712,greek police arrest suspect in greek-australian's murder,guilt,"[[""arrest suspect in greek-australian's murder""]]",arrest suspect in greek-australian's murder,5,17
2457,california woman posing as social worker tried to kidnap newborn: cops,negative_surprise,"[[""tried to kidnap newborn""]]",tried to kidnap newborn,11,14
460,kim petras’ new track revitalizes a longstanding controversy,joy,"[[""new track revitalizes a longstanding controversy""]]",new track revitalizes a longstanding controversy,6,15
3069,supreme court deserves praise for reversing itself on takings clause,pride,"[[""deserves praise for reversing itself on takings clause""]]",deserves praise for reversing itself on takings clause,3,12
2575,the growing crisis of guns on campus,fear,"[[""the growing""]]",the growing,1,2
2920,california sues trump over cancellation of high-speed rail funds,negative_surprise,"[[""over cancellation of high-speed rail funds""]]",over cancellation of high-speed rail funds,10,17
3535,endangered whale experiencing mini baby boom in new england waters,positive_surprise,"[[""experiencing mini baby boom in new england waters""]]",experiencing mini baby boom in new england waters,3,12
3390,st. louis prosecutor wesley bell launches independent unit to hold police accountable,annoyance,"[[""to hold police accountable""]]",to hold police accountable,14,18
1347,70% of russians approve of mass murderer joseph stalin’s impact on country: poll,sadness,"[[""70% of russians approve of mass murderer joseph stalin’s impact on country: poll""]]",70% of russians approve of mass murderer joseph stalin’s impact on country: poll,1,23
642,"trump says china trade talks ‘back on track,’ new tariffs on hold",annoyance,"[[""‘back on track,’ new tariffs on hold""]]","‘back on track,’ new tariffs on hold",8,19
4771,"six dead, 200 injured in protests over indonesia's election result",sadness,"[[""200 injured in protests over indonesia's election result"",""protests over indonesia's election result""]]",200 injured in protests over indonesia's election result,4,16
864,trump: ‘sleepy joe’ biden will ‘limp’ out of democratic field to face me,annoyance,"[[""democratic field to face me""]]",democratic field to face me,17,21
1762,"thanks to rush limbaugh, i had a friendship with doris day",joy,"[[""i had a friendship with doris day""]]",i had a friendship with doris day,7,14
99,nationwide demonstrations announced to protest immigrant detention centers,negative_surprise,"[[""immigrant detention""]]",immigrant detention,6,7
3683,cleric: muslims ‘have a duty’ to obtain nuclear weapons,negative_anticipation_including_pessimism,"[[""to obtain nuclear weapons""]]",to obtain nuclear weapons,14,17
3620,the u.s. is ramping up for a new mideast war before finishing the last one,fear,"[[""is ramping up for a new mideast war before finishing the last one""]]",is ramping up for a new mideast war before finishing the last one,6,21
2365,"us investigated the president of honduras for drug-trafficking, documents show",negative_surprise,"[[""drug-trafficking""]]",drug-trafficking,11,13
677,ben carson admits that black americans are struggling in trump’s economy,negative_surprise,"[[""are struggling in trump’s economy""]]",are struggling in trump’s economy,10,17
1102,"premier league transfer news: rodriguez, maguire, asensio, sane, felix, perisic",positive_surprise,"[[""premier league transfer news: rodriguez, maguire, asensio, sane, felix, perisic""]]","premier league transfer news: rodriguez, maguire, asensio, sane, felix, perisic",1,28
1364,amanda knox returns to italy for first time since being freed from prison in 2011,positive_surprise,"[[""returns to italy for first time since being freed from prison in 2011""]]",returns to italy for first time since being freed from prison in 2011,5,18
3468,"detained, abused & denied medical care: how trump immigration policies led to child deaths at border",disgust,"[[""trump immigration policies led to child deaths at border""]]",trump immigration policies led to child deaths at border,10,19
4503,the toy story trilogy gets the epilogue it deserves,joy,"[[""gets the epilogue it deserves""]]",gets the epilogue it deserves,5,11
4451,"with federal executions looming, the democrats’ death penalty legacy is coming back to haunt us",fear,"[[""death penalty legacy is coming back to haunt us""]]",death penalty legacy is coming back to haunt us,10,19
1473,"meet the trainer to royals, rulers and billionaires",positive_surprise,"[[""rulers and billionaires""]]",rulers and billionaires,8,11
4275,"ten u.s. states sue to stop sprint-t-mobile deal, saying consumers will be hurt",anger,"[[""stop sprint-t-mobile deal, saying consumers will be hurt""]]","stop sprint-t-mobile deal, saying consumers will be hurt",9,21
4575,louisiana businesses owed $785 million in unpaid state taxes last year,negative_surprise,"[[""$785 million in unpaid state taxes last year""]]",$785 million in unpaid state taxes last year,7,16
1133,senate intel finds 'extensive' russian election interference going back to 2014,negative_surprise,"[[""russian election interference going back to 2014""]]",russian election interference going back to 2014,8,16
1501,queen elizabeth learned to shoot at 14 with churchill’s tommy gun,fear,"[[""learned to shoot at 14 with churchill’s tommy gun""]]",learned to shoot at 14 with churchill’s tommy gun,5,17
4410,huge alligator strolls across south carolina golf course: he's 'running late for his tee time',fear,"[[""huge alligator strolls across south carolina golf course""]]",huge alligator strolls across south carolina golf course,1,14
4251,"mueller’s willing to testify, but trump doj is holding it up: dems",anger,"[[""doj is holding it up: dems""]]",doj is holding it up: dems,13,21
61,"iran says us cyber attacks failed, hints at possible talks",negative_surprise,"[[""US Cyber Attacks Failed""]]",us cyber attacks failed,4,9
565,"world war one fanatic's collection of bombs and shells is set to fetch £5,000 at auction",pride,"[[""bombs and shells is set to fetch £5,000 at auction""]]","bombs and shells is set to fetch £5,000 at auction",10,22
4449,water is life: midwestern floods threaten indigenous communities at forefront of climate crisis,fear,"[[""indigenous communities""],[""midwestern floods threaten""]]",indigenous communities,10,11
2593,"u.s. sees surge in confirmed cases of measles, cdc reports",negative_surprise,"[[""confirmed cases of measles""]]",confirmed cases of measles,8,13
3989,chicago elects its first black woman mayor,joy,"[[""elects its first black woman mayor""]]",elects its first black woman mayor,4,10
3356,mueller refused to deny his team leaked roger stone’s fbi raid to cnn,annoyance,"[[""leaked roger stone’s fbi raid to cnn""]]",leaked roger stone’s fbi raid to cnn,9,21
4140,there’s another side to the opioid crisis,sadness,"[[""there’s another side to the opioid crisis""]]",there’s another side to the opioid crisis,1,11
1825,congresswoman: prosecute those poking fun of congressional members,fear,"[[""those poking fun of congressional members""]]",those poking fun of congressional members,6,11
3835,boris johnson's girlfriend carrie symonds quit her job at conservative party over expenses claims,negative_surprise,"[[""quit her job at conservative party over expenses claims""]]",quit her job at conservative party over expenses claims,15,23
1800,woodstock 50 promoter claims former funders drained $17 million from festival,negative_surprise,"[[""50 promoter claims former funders drained $17 million from festival""]]",50 promoter claims former funders drained $17 million from festival,3,14
3395,the inside story of the $6 million ‘devil’s violin’ heist,positive_anticipation_including_optimism,"[[""the inside story of the $6 million ‘devil’s violin’ heist""]]",the inside story of the $6 million ‘devil’s violin’ heist,1,16
4975,middlebury college cancels speech by polish politician-academic,negative_anticipation_including_pessimism,"[[""cancels speech by polish politician-academic""]]",cancels speech by polish politician-academic,4,13
3270,15 questions robert mueller must answer,annoyance,"[[""robert mueller must answer""]]",robert mueller must answer,3,9
1727,oil prices little changed despite u.s. crude stock draw,negative_surprise,"[[""changed despite u.s. crude stock draw""]]",changed despite u.s. crude stock draw,4,12
1151,the cbo report on single payer isn’t the one we deserve to see,annoyance,"[[""the one we deserve to see""]]",the one we deserve to see,12,17
